the,a
few,alguns
because,Porque
thing,coisa
whom,o qual
far,distante
seemed,pareceu
looked,visto
called,chamado
whole,todo
de,de
set,definir
both,Ambas
got,obteve
find,achar
done,feito
heard,ouviu
look,Veja
name,nome
days,dias
told,contou
let,deixei
lord,senhor
country,país
asked,Perguntou
going,indo
seen,visto
better,Melhor
p,p
having,tendo
home,casa
knew,sabia
side,lateral
something,algo
moment,momento
father,pai
among,dentre
course,curso
hands,mãos
woman,mulher
enough,o suficiente
words,palavras
mother,mãe
soon,em breve
full,completo
end,fim
gave,deu
room,sala
almost,quase
small,pequena
thou,vós
cannot,não pode
water,agua
want,quer
however,Contudo
light,leve
quite,bastante
brought,trouxe
nor,nem
word,palavra
whose,cujo
given,dado
door,porta
best,melhor
turned,virou
taken,ocupado
does,faz
use,usar
morning,manhã
myself,Eu mesmo
Gutenberg,Gutenberg
felt,sentido
until,até
since,Desde a
power,potência
themselves,si mesmos
used,usava
rather,em vez
began,começou
present,presente
voice,voz
others,outras
white,Branco
works,funciona
less,menos
money,dinheiro
next,Next
poor,pobre
death,morte
stood,ficou
form,Formato
within,dentro de
together,juntos
till,até
thy,teus
large,ampla
matter,importam
kind,Gentil
often,frequentemente
certain,certo
herself,ela própria
year,ano
friend,amigo
half,metade
order,pedido
round,arredondar
true,verdadeiro
anything,nada
keep,continuar
sent,enviei
wife,esposa
means,meios
believe,acreditam
passed,passado
feet,pés
near,perto
public,público
state,Estado
son,filho
hundred,centenas
children,crianças
thus,portanto
hope,ter esperança
alone,sozinho
above,acima
case,caso
dear,querido
thee,te
says,diz
person,pessoa
high,Alto
read,ler
city,cidade
already,já
received,recebido
fact,facto
gone,foi
girl,menina
known,conhecido
hear,ouvir
times,vezes
least,ao menos
perhaps,possivelmente
sure,certo
indeed,na verdade
english,inglês
open,abrir
body,corpo
itself,em si
along,ao longo
land,terra
return,Retorna
leave,sair
air,ar
nature,natureza
answered,respondidas
either,qualquer
law,lei
help,ajuda
lay,deitar
point,ponto
child,filho
letter,carta
four,quatro
wish,desejar
fire,fogo
cried,chorou
2,2
women,mulheres
speak,falar
number,número
therefore,portanto
hour,hora
friends,amigos
held,guardado
free,gratuitamente
war,guerra
during,no decorrer
several,de várias
business,o negócio
whether,se
er,er
manner,maneiras
second,segundo
reason,razão
replied,respondeu
united,Unido
call,ligar
general,em geral
why,Por quê
behind,atrás
became,passou a ser
john,John
become,vir a ser
dead,morto
earth,terra
boy,Garoto
lost,perdido
forth,para frente
thousand,mil
looking,olhando
I'll,eu vou
family,família
soul,alma
feel,sentir
coming,chegando
England,Inglaterra
spirit,espírito
question,pergunta
care,Cuidado
truth,verdade
ground,chão
really,realmente
rest,descanso
mean,significar
different,diferente
making,fazer
possible,possível
fell,caiu
towards,em direção
human,humano
kept,manteve
short,baixo
town,Cidade
following,Segue
need,necessidade
cause,causa
met,conheceu
evening,tarde
returned,devolvida
five,cinco
strong,Forte
able,capaz
french,francês
live,viver
lady,Senhora
subject,sujeito
sn,sn
answer,responder
sea,mar
fear,medo
understand,Compreendo
hard,Difícil
terms,termos
doubt,dúvida
around,por aí
ask,perguntar
arms,braços
turn,vez
sense,senso
seems,parece
black,Preto
bring,trazer
followed,seguido
beautiful,lindo
close,Fechar
dark,Sombrio
hold,segure
character,personagem
sort,organizar
sight,visão
ten,dez
show,exposição
party,Festa
fine,multar
ye,vós
ready,pronto
story,história
common,comum
book,livro
electronic,eletrônico
talk,conversa
account,conta
mark,marca
interest,interesse
written,escrito
can't,não pode
bed,cama
necessary,necessário
age,era
else,senão
force,força
idea,idéia
longer,mais longo
art,arte
spoke,falou
across,através
brother,irmão
early,cedo
ought,deveria
sometimes,às vezes
line,linha
saying,dizendo
table,tabela
appeared,apareceu
river,Rio
continued,contínuo
eye,olho
ety,ety
sun,sol
information,em formação
later,mais tarde
everything,tudo
reached,alcançado
suddenly,De repente
past,passado
hours,horas
strange,estranho
deep,profundo
change,mudança
miles,milhas
feeling,sentimento
act,agir
meet,Conheça
paid,pago
further,avançar
purpose,propósito
happy,feliz
added,adicionado
seem,parecer
taking,tirando
blood,sangue
rose,Rosa
south,Sul
beyond,além
cold,resfriado
neither,nenhum
forward,frente
view,visualizar
I've,Eu tenho
position,posição
sound,som
none,Nenhum
entered,entrou
clear,Claro
road,estrada
late,atrasado
stand,ficar de pé
suppose,suponha
la,la
daughter,filha
real,real
nearly,por pouco
mine,minha
laws,leis
knowledge,conhecimento
comes,vem
toward,em direção a
bad,ruim
cut,cortar
copy,cópia de
husband,esposo
six,seis
France,França
living,a viver
peace,Paz
didn't,não
low,baixo
north,norte
remember,lembrar
effect,efeito
natural,natural
pretty,bonito
fall,outono
fair,feira
service,serviço
below,abaixo
except,exceto
American,americano
hair,cabelo
London,Londres
laid,liderar
pass,passar
led,liderada
copyright,direito autoral
doing,fazendo
army,Exército
run,corre
horse,cavalo
future,futuro
opened,aberto
pleasure,prazer
history,história
west,Oeste
pay,pagar
red,vermelho
an',um'
4,4
hath,Tem
note,Nota
although,Apesar
wanted,procurado
gold,ouro
makes,faz
desire,desejo
play,Toque
master,mestre
office,escritório
tried,testado
front,frente
big,grande
Dr,Dr.
lived,vivido
certainly,certamente
wind,vento
receive,receber
attention,atenção
government,governo
unto,até
church,Igreja
strength,força
length,comprimento
company,companhia
placed,colocada
paper,papel
letters,letras
probably,provavelmente
glad,Alegre
important,importante
especially,especialmente
greater,maior
yourself,você mesma
fellow,amigo
bear,Urso
opinion,opinião
window,janela
ran,correu
faith,fé
ago,atrás
agreement,acordo
charge,cobrar
beauty,beleza
lips,lábios
remained,permaneceu
arm,braço
latter,último
duty,dever
send,mandar
distance,distância
silence,silêncio
foot,pé
wild,selvagem
object,objeto
die,morrer
save,Salve 
gentleman,cavalheiro
trees,árvores
green,verde
trouble,dificuldade
smile,sorriso
books,livros
wrong,errado
various,vários
sleep,dorme
persons,pessoas
blockquote,bloco de citação
happened,ocorrido
particular,especial
drew,Desenhou
minutes,minutos
hardly,dificilmente
walked,caminhou
chief,chefe
chance,chance
according,de acordo com
beginning,começo
action,açao
deal,lidar
loved,amavam
visit,Visita
thinking,pensando
follow,Segue
standing,de pé
knows,sabe
try,experimentar
presence,presença
heavy,pesado
sweet,doce
plain,plano
donations,doações
immediately,imediatamente
wrote,escreveu
mouth,boca
rich,rico
thoughts,pensamentos
months,meses
u,você
won't,não vai
afraid,com medo
Paris,Paris
single,solteiro
joy,alegria
enemy,inimigo
broken,quebrado
unless,a menos que
states,estados
ship,enviar
condition,doença
carry,carregar
exclaimed,exclamou
including,Incluindo
filled,preenchidas
seeing,vendo
influence,influência
write,escrever
boys,Rapazes
appear,aparecer
outside,lado de fora
secret,segredo
parts,partes
please,por favor
appearance,aparência
evil,mal
march,marchar
George,Jorge
whatever,qualquer que seja
slowly,devagar
tears,pranto
horses,cavalos
places,locais
caught,capturado
stay,fique
instead,em vez de
struck,chocado
blue,azul
York,Iorque
impossible,impossível
period,período
sister,irmã
battle,batalha
school,escola
Mary,Mary
raised,criado
occasion,ocasião
married,casado
man's,do homem
former,antigo
food,Comida
youth,Juventude
learned,aprendido
merely,apenas
reach,alcançar
system,sistema
twenty,vinte
dinner,jantar
quiet,tranquilo
easily,facilmente
moved,mudou-se
afterwards,após
giving,dando
walk,andar
stopped,parado
laughed,sorriu
language,língua
expression,expressão
week,semana
hall,corredor
danger,perigo
property,propriedade
wonder,maravilha
usual,habitual
figure,figura
born,nascermos
court,quadra
generally,geralmente
grew,cresceu
showed,mostrou
getting,recebendo
ancient,antigo
respect,respeito
third,terceiro
worth,valor
simple,simples
tree,árvore
leaving,saindo
remain,permanecer
society,sociedade
fight,lutar
wall,parede
result,resultado
heaven,Paraíso
William,William
started,iniciado
command,comando
tone,tom
regard,que diz respeito
expected,esperado
mere,mero
month,mês
beside,ao lado
silent,silencioso
perfect,perfeito
experience,experiência
street,rua
writing,escrevendo
goes,vai
circumstances,circunstâncias
entirely,inteiramente
fresh,fresco
duke,duque
covered,abordado
bound,limite
east,leste
wood,Madeira
stone,pedra
quickly,rapidamente
notice,perceber
bright,brilhante
Christ,Cristo
boat,barco
noble,nobre
meant,significou
somewhat,de alguma forma
sudden,repentino
value,valor
c.,c.
direction,direção
chair,cadeira
due,vencimento
support,Apoio, suporte
tom,Tom
date,encontro
waiting,esperando
Christian,cristão
village,Vila
lives,vidas
reading,lendo
agree,aceita
lines,linhas
considered,considerado
field,campo
observed,observado
scarcely,dificilmente
wished,desejou
wait,esperar
greatest,o melhor
permission,permissão
success,sucesso
piece,peça
British,britânico
ex,ex
Charles,Carlos
formed,formado
speaking,Falando
trying,tentando
conversation,conversação
proper,apropriado
hill,Colina
music,música
opportunity,oportunidade
that's,isso é
German,alemão
afternoon,tarde
cry,choro
cost,custo
allowed,permitido
girls,garotas
considerable,considerável
c,c
broke,quebrado
honour,honra
seven,Sete
private,privado
sit,sentar
news,notícias
top,principal
scene,cena
discovered,descoberto
marriage,casado
step,degrau
garden,Jardim
race,raça
begin,começar
per,por
individual,Individual
sitting,sentado
learn,aprender
political,político
difficult,difícil
bit,mordeu
speech,discurso
Henry,Henrique
lie,mentira
cast,elencar
eat,comer
authority,autoridade
etc.,etc.
floor,piso
ill,doente
ways,caminhos
officers,oficiais
offered,oferecido
original,original
happiness,felicidade
flowers,flores
produced,produzido
summer,verão
provide,providenciar
study,estudar
religion,religião
picture,foto
walls,paredes
personal,pessoal
America,América
watch,ver
pleased,satisfeito
leaves,folhas
declared,declarado
hot,quente
understood,Entendido
effort,esforço
prepared,preparado
escape,fuga
attempt,tentar
supposed,suposto
killed,morto
fast,velozes
author,autor
Indian,indiano
brown,marrom
determined,determinado
pain,dor
spring,mola
takes,leva
drawn,retirou
soldiers,soldados
houses,casas
beneath,abaixo
talking,conversando
turning,girando
century,século
steps,degraus
intended,pretendido
soft,suave
straight,em linha reta
matters,assuntos
likely,provável
corner,canto
trademark,marca comercial
justice,justiça
simply,simplesmente
produce,produzir
trust,Confiar em
appears,parece
Rome,Roma
laugh,riso
forget,esquecer
Europe,Europa
passage,passagem
eight,oito
closed,fechado
ourselves,nós mesmos
gives,dá
dress,vestir
passing,passagem
terrible,Terrível
required,requeridos
medium,médio
efforts,esforços
sake,interesse
breath,respiração
wise,sábio
ladies,senhoras
possession,posse
pleasant,prazeroso
perfectly,perfeitamente
o',o'
memory,memória
usually,geralmente
grave,Cova
fixed,fixo
modern,moderno
spot,local
troops,tropas
rise,ascender
break,pausa
fifty,cinquenta
island,ilha
meeting,encontro
camp,acampamento
nation,nação
existence,existência
reply,responder
I'd,eu ia
copies,cópias
sky,céu
touch,toque
equal,igual
fortune,fortuna
v.,v.
shore,Costa
domain,domínio
named,nomeado
situation,situação
looks,visual
promise,promessa
orders,ordens
degree,grau
middle,meio
winter,inverno
plan,plano
spent,gasto
allow,permitir
pale,pálido
conduct,conduta
running,corrida
religious,religioso
surprise,surpresa
minute,minuto
roman,romano
cases,casos
shot,tomada
lead,liderar
move,jogada
names,nomes
stop,Pare
higher,mais alto
et,et
father's,do pai
threw,jogou
worse,pior
built,construído
spoken,falou
glass,vidro
board,borda
vain,vão
affairs,romances
instance,instância
safe,seguro
loss,perda
doctor,médico
offer,oferta
class,classe
complete,completo
access,Acesso
lower,diminuir
wouldn't,não faria
repeated,repetido
forms,formulários
darkness,Trevas
military,militares
warm,esquentar
drink,bebida
passion,paixão
ones,uns
physical,físico
example,exemplo
ears,ouvidos
questions,perguntas
start,começar
lying,mentindo
smiled,sorriu
keeping,guardando
spite,Despeito
shown,mostrando
directly,diretamente
james,James
hart,cervo
serious,sério
hat,chapéu
dog,cão
silver,prata
sufficient,suficiente
main,a Principal
mentioned,mencionado
servant,servo
pride,orgulho
crowd,multidão
train,Comboio
wonderful,Maravilhoso
moral,moral
instant,instante
associated,associado
path,caminho
greek,grego
meaning,significado
fit,em forma
ordered,ordenado
lot,muitos
he's,ele é
proved,provado
obliged,obrigado
enter,entrar
rule,regra
sword,espada
attack,ataque
seat,assento
game,jogos
health,saúde
paragraph,parágrafo
statement,declaração
social,social
refund,reembolso
sorry,Desculpe
courage,coragem
members,membros
grace,graça
official,oficial
dream,Sonhe
worthy,valioso
rock,Rocha
jack,Jack
provided,forneceu
special,especial
shook,sacudiu
request,solicitar
mighty,poderoso
glance,olhar
heads,cabeças
movement,movimento
fee,taxa
share,compartilhado
expect,esperar
couldn't,não podia
dollars,dólares
spread,propagação
opposite,oposto
glory,glória
twelve,doze
space,espaço
engaged,acionado
peter,Pedro
wine,vinho
ordinary,comum
mountains,montanhas
taste,gosto
iron,ferro
isn't,não é
distribute,distribuir
trade,troca
consider,considerar
greatly,muito
accepted,aceitaram
forced,forçado
advantage,vantagem
ideas,Ideias
decided,decidiu
using,usando
officer,Policial
rate,avaliar
clothes,roupas
sign,sinal
feelings,sentimentos
native,nativo
promised,prometido
judge,juiz
difference,diferença
working,trabalhando
anxious,ansioso
marry,casar
captain,capitão
finished,finalizado
extent,extensão
watched,assistiu
curious,curioso
foreign,esqueceram
besides,além do mais
method,método
excellent,excelente
confidence,confiança
marked,marcado
'em,eles
jesus,Jesus
exactly,exatamente
importance,importância
finally,finalmente
bill,conta
vast,grande
prove,provar
fancy,extravagante
quick,rápido
yes,sim
sought,procurado
prevent,evita
neck,pescoço
hearts,corações
liberty,liberdade
interesting,interessante
sides,lados
legal,jurídico
gentlemen,cavalheiros
dry,seco
serve,servir
aside,a parte, de lado
pure,puro
concerning,relativo
forgotten,esquecido
lose,perder
powers,poderes
possessed,possuído
thrown,jogado
evidence,evidência
distant,distante
Michael,Michael
progress,progresso
similar,semelhante
narrow,estreito
altogether,completamente
building,construção
page,página
particularly,particularmente
knowing,sabendo
weeks,semanas
settled,assentou
holding,contenção
mountain,montanha
search,procurar
sad,triste
sin,pecado
lies,mentiras
proud,orgulhoso
pieces,peças
clearly,claramente
price,preço
ships,navios
thirty,trinta
sick,doente
honest,honesto
shut,fechar
talked,falou
bank,Banco
fate,destino
dropped,desistiu
judgment,julgamento
conditions,condições
king's,do rei
accept,aceitar
hills,Colinas
removed,removido
forest,floresta
measure,a medida
species,espécies
seek,procurar
highest,Altíssima
otherwise,de outra forma
stream,Stream
honor,honra
carefully,com cuidado
obtained,obtido
ear,orelha
bread,pão
bottom,fundo
additional,adicional
presented,apresentado
aid,ajuda
fingers,dedos
q,q
remembered,lembrou
choose,escolher
agreed,acordado
animal,animal
events,eventos
there's,há
fully,totalmente
delight,prazer
rights,direitos
amount,montante
obtain,obtivermos
tax,imposto
servants,funcionários
sons,filhos
cross,Cruz
shoulders,ombros
thick,espesso
points,pontos
stranger,estranho
woods,bosques
facts,fatos
dare,ousar
grow,crescer
creature,criatura
hung,pendurado
rain,chuva
false,falso
tall,alto
gate,portão
nations,nações
created,criado
refused,recusou
quietly,silenciosamente
surface,superfície
freely,livremente
holy,piedosos
streets,ruas
blow,golpe
july,Julho
regarded,considerado
fashion,moda
report,relatório
coast,costa
daily,Diário
file,Arquivo
shoulder,ombro
surprised,surpreso
faces,rostos
succeeded,conseguiu
birds,pássaros
distribution,distribuição
royal,real
song,música
wealth,fortuna
comfort,conforto
failed,fracassado
freedom,liberdade
peculiar,peculiar
anyone,qualquer um
advance,avançar
gentle,□ Gentil
surely,certamente
animals,animais
waited,esperou
secure,seguro
desired,desejado
grass,Relva
touched,tocou
occupied,ocupado
draw,desenhar
stage,estágio
portion,parte
expressed,expresso
opening,abertura
june,junho
spirits,espíritos
fish,peixe
tongue,língua
capital,capital
angry,nervoso
growing,crescente
served,servido
carriage,transporte
weather,clima
breast,seio
presently,atualmente
snow,neve
David,Davi
papers,papéis
necessity,necessidade
practice,prática
claim,afirmação
hast,rápido
education,Educação
sharp,afiado
prince,Principe
permitted,permitido
group,grupo
enemies,inimigos
robert,Roberto
played,reproduziu
throughout,por todo
pity,pena
expense,despesa
yours,Sua
million,milhão
add,adicionar
pray,rezar
taught,ensinou
explained,explicou
tired,cansado
leading,conduzindo
kill,matar
shadow,sombra
companion,companheiro
weight,peso
mass,massa
established,estabelecido
suffered,sofreu
gray,cinzento
brave,corajoso
thin,afinar
satisfied,satisfeito
check,Verifica
virtue,virtude
golden,dourado
numerous,numerosos
frequently,freqüentemente
famous,famoso
telling,contando
powerful,poderoso
alive,vivo
waters,águas
national,nacional
weak,fraco
divine,divino
material,material
principal,diretor
gathered,colhido
suggested,sugerido
frank,franco
valley,vale
guess,acho
finding,encontrar
yellow,amarelo
heat,calor
remains,restos
bent,dobrado
seized,apreendido
guard,guarda
equally,igualmente
naturally,naturalmente
box,caixa
remarkable,notável
gods,Deuses
moon,lua
slight,pouco
style,estilo
pointed,pontiagudo
saved,salvou
windows,janelas
crossed,cruzado
louis,Louis
pounds,libras
ain't,não é
evidently,evidentemente
principle,princípio
immediate,imediato
willing,disposto
consequence,consequência
richard,Ricardo
principles,princípios
characters,personagens
paul,Paulo
season,temporada
remarked,comentou
science,Ciência
tender,macio
worked,trabalhado
grown,crescido
whispered,sussurrou
interested,interessado
quarter,trimestre
midst,meio
liked,apreciado
advanced,avançado
apparently,aparentemente
bore,calibre
pwh,pwh
active,ativo
noticed,percebido
aware,consciente
thomas,Thomas
uncle,tio
list,Lista
dangerous,perigoso
august,agosto
calm,calma
genius,gênio
sacred,sagrado
kingdom,reino
entire,inteira
popular,popular
unknown,desconhecido
nice,legais
habit,hábito
spanish,espanhol
familiar,familiar
reader,leitor
published,Publicados
direct,direto
handsome,jeitoso
you'll,você vai
joined,ingressou
actually,na verdade
kings,reis
sd,SD
posted,publicado
approach,aproximação
Washington,Washington
hearing,audição
needed,precisava
increased,aumentou
walking,andando
twice,duas vezes
throw,lançar
intellectual,intelectual
appointed,nomeado
wisdom,sabedoria
ceased,cessou
truly,verdadeiramente
numbers,números
demanded,exigiu
priest,padre
wounded,ferido
sorrow,tristeza
drive,dirigir
fault,falta
listened,Ouvido
palace,Palácio
affair,caso
contact,contato
distinguished,distinto
station,estação
beat,bater
distributed,distribuído
e,e
listen,ouço
Italy,Itália
fool,idiota
becomes,torna-se
watching,assistindo
hurt,ferido
wants,quer
express,expressar
occurred,ocorreu
favour,Favor
height,altura
size,Tamanho
edge,Beira
subjects,assuntos
task,tarefa
follows,segue
interests,interesses
nine,nove
sympathy,simpatia
burst,explodido
putting,colocando
dressed,vestido
lifted,levantado
hopes,esperanças
suffer,Sofra
noise,ruído
smiling,sorridente
rode,montaram
tells,diz
minds,mentes
farther,mais
literature,literatura
vessel,navio
affection,afeição
suffering,Sofrimento
proceeded,prosseguiu
flesh,carne
advice,adendo
grand,grande
carrying,carregando
legs,pernas
Spain,Espanha
post,publicar
collection,coleção
empty,vazio
rank,classificação
storm,tempestade
god's,Deuses
imagine,Imagine
wore,vestiu
duties,obrigações
admitted,admitido
countries,países
pocket,bolso
arrival,chegada
imagination,imaginação
driven,dirigido
loud,alto
sentence,frase
lovely,amável
extraordinary,extraordinário
November,novembro
December,dezembro
happen,acontecer
absence,ausência
breakfast,café da manhã
population,população
thank,obrigado
rules,as regras
inhabitants,habitantes
series,Series
laughing,rindo
address,Morada
relief,alívio
bird,pássaro
owner,proprietário
impression,impressão
satisfaction,satisfação
coat,casaco
prepare,preparar
relations,relações
shape,forma
birth,aniversário
rapidly,rapidamente
smoke,fumaça
January,Janeiro
mother+'s,mãe+
machine,máquina
content,contente
consideration,consideração
accompanied,acompanhado
regular,regular
moving,em movimento
stands,estandes
wholly,totalmente
teeth,dentes
busy,ocupado
treated,tratado
burning,queimando
shame,vergonha
quality,qualidade
bay,Baía
discover,descobrir
inside,dentro
brain,cérebro
soil,solo
completely,completamente
message,mensagem
ring,anel
resolved,resolvido
calling,chamando
phrase,frase
acts,atos
mention,menção
square,quadrado
pair,par
won,Ganhou
title,título
understanding,compreensão
Sunday,Domingo
fruit,fruta
mad,louco
forces,forças
included,incluído
tea,chá
rocks,pedras
nearer,mais perto
slaves,escravos
falling,queda
absolutely,absolutamente
slow,lento
bearing,consequência
mercy,Misericórdia
larger,maior
explain,explique
contain,conter
grief,pesar
soldier,soldado
wasn't,não era
countenance,semblante
previous,anterior
explanation,explicação
welcome,bem vinda
proposed,proposto
prayer,oração
stars,estrelas
Germany,Alemanha
belief,crença
informed,informado
moments,momentos
poetry,poesia
constant,constante
buy,Comprar
final,final
faithful,fiel
ride,andar de
policy,política
supper,jantar
drawing,desenhando
excitement,excitação
dying,morrendo
demand,exigem
fighting,brigando
fields,Campos
drove,dirigiu
upper,superior
sum,soma
Philip,Philip
motion,movimento
assistance,assistência
forty,quarenta
April,abril
stones,pedras
Edward,Eduardo
fees,honorários
kindly,gentilmente
dignity,dignidade
catch,pegar
October,Outubro
seated,sentado
knees,joelhos
amongst,entre
current,atual
sending,enviando
parties,partidos
objects,objetos
gained,ganhou
bitter,amargo
possibly,possivelmente
slave,escravo
separate,separado
loose,solto
text,texto
receiving,recebendo
worst,pior
sold,vendido
don,vestir
credit,crédito
chosen,escolhido
hoped,esperava
printed,impresso
terror,terror
features,recursos
fond,afeiçoado
control,ao controle
capable,capaz
fifteen,quinze
doesn't,não
firm,empresa
superior,superior
cruel,cruel
spiritual,espiritual
Harry,atormentar
splendid,esplêndido
proof,prova
pressed,pressionado
sooner,mais cedo
join,Junte
process,processo
crime,crime
dust,pó
instantly,imediatamente
lands,terras
relation,relação
doors,portas
concerned,preocupado
deeply,profundamente
practical,prático
colour,cor
sing,cantar
destroy,destruir
anger,raiva
distributing,distribuindo
results,resultados
increase,aumentar
reasons,razões
nose,nariz
friendly,amigáveis
entrance,Entrada
rooms,quartos
admit,Admitem
supply,fornecem
clean,limpar
useful,útil
yesterday,ontem
delicate,delicado
fail,falhou
continue,Prosseguir
remove,remover
addressed,endereçado
choice,escolha
huge,imenso
needs,precisa
wear,vestem
blind,cego
unable,incapaz
cover,cobrir
double,Duplo
victory,vitória
dozen,dúzia
constantly,constantemente
level,nível
India,Índia
release,lançamento
rough,rude
ended,terminou
shows,mostra
fly,mosca
praise,elogio
devil,diabo
ahead,à frente
smith,ferreiro
connected,conectado
degrees,graus
gain,ganho
addition,Adição
committed,comprometido
chamber,câmara
notes,notas
Italian,italiano
gradually,gradualmente
acquaintance,conhecimento
bought,comprou
souls,almas
mission,missão
sacrifice,sacrifício
cities,cidades
mistake,erro
exercise,exercício
conscience,consciência
based,Sediada
car,carro
buried,enterrado
theory,teoria
commanded,comandado
nobody,ninguém
minister,ministro
closely,de perto
energy,energia
dick,pau
bare,nu
fought,lutou
partly,parcialmente
mistress,amante
hate,ódio
arose,surgiu
playing,jogando
color,cor
lake,Lago
safety,segurança
provisions,provisões
description,Descrição
asleep,dormindo
centre,Centro
faint,desmaiar
thinks,pensa
parents,pais
escaped,escapou
careful,cuidadoso
enjoy,desfrutar
drop,derrubar
brilliant,brilhante
brief,apresentação
bringing,trazendo
worship,adorar
goods,bens
tale,conto
skin,pele
roof,cobertura
grey,cinza
highly,altamente
crown,coroa
castle,castelo
excited,animado
throne,trono
stated,declarado
despair,desespero
ease,facilidade
attached,em anexo
total,total
kindness,gentileza
mile,milha
citizens,cidadãos
circle,círculo
dull,maçante
extreme,extremo
clouds,nuvens
figures,figuras
intention,intenção
prison,prisão
term,prazo
assured,Assured
hidden,escondido
thoroughly,completamente
cup,copo
member,membro
civil,Civil
apply,Aplique
labor,trabalho
everywhere,em toda parte
intelligence,inteligência
strike,greve
fairly,com justiça
comply,cumprir
fellows,companheiros
haven't,não tenho
event,evento
gently,suavemente
connection,conexão
protection,proteção
conscious,consciente
edition,edição
directed,dirigido
pulled,retirado
flight,voo
evident,evidente
surrounded,cercado
wishes,desejos
yards,jardas
voices,vozes
weary,cansado
couple,casal
variety,variedade
whilst,enquanto
volume,volume
details,detalhes
older,Mais velho
requirements,requisitos
custom,personalizadas
apart,separado
bow,arco
awful,horrível
everybody,todo o mundo
labour,trabalho
asking,Perguntando
lover,amante
showing,mostrando
introduced,introduzido
suit,Traje
becoming,tornando-se
composed,composto
plans,planos
rendered,renderizado
pictures,As fotos
lest,para que não
volunteers,voluntários
singing,cantoria
eager,ansioso
precious,precioso
paused,pausado
require,exigir
meat,eu no
whenever,sempre que
milk,leite
dogs,cães
successful,bem sucedido
plants,plantas
vision,visão
rare,cru
granted,garantido
raise,levantar
Egypt,Egito
manners,maneiras
cousin,prima
you've,você tem
development,desenvolvimento
Arthur,Arthur
obs,obs
cool,legal
trial,julgamento
learning,Aprendendo
approached,aproximou-se
bridge,Ponte
abroad,fora do país
devoted,devotado
paying,pagando
literary,literário
writer,escritor
fn,fn
Israel,Israel
disappeared,desaparecido
interrupted,interrompido
stock,estoque
readers,leitores
dreadful,terrível
female,fêmea
protect,proteger
accustomed,acostumado
Virginia,Virgínia
type,modelo
recognized,reconhecido
salt,sal
destroyed,destruído
signs,sinais
innocent,inocente
temper,temperamento
plenty,bastante
pope,papa
avoid,evitar
hurried,apressado
represented,representado
favor,Favor
mental,mental
attitude,atitude
returning,retornando
admiration,admiração
brothers,irmãos
anxiety,ansiedade
queen,rainha
teach,Ensinar
count,contar
curiosity,curiosidade
solemn,solene
causes,causas
vessels,embarcações
compelled,compelido
dance,dança
hotel,hotel
wicked,malvado
fled,fugiu
kissed,beijou
guns,armas
fill,encher
visible,visível
younger,mais jovem
guide,guia
earnest,sério
actual,real
companions,companheiros
prisoner,prisioneiro
miserable,miserável
lad,rapaz
harm,ferir
views,Visualizações
Irish,irlandês
utterly,totalmente
ends,termina
shop,fazer compras
stairs,escadaria
pardon,perdão
gay,gay
beg,implorar
seldom,raramente
kinds,tipos
record,registro
fat,gordura
sand,areia
violent,violento
branches,galhos
inquired,perguntou
IV,4
September,setembro
worn,desgastado
Ireland,Irlanda
flat,plano
